Textbox543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Select a past date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Textbox490,Textbox33,Textbox491,Textbox447,Textbox84,Textbox518,Textbox544,Textbox519,ZeroHour1,ZeroHourCount,ZeroHour,ZeroHourCount1,Textbox413,Textbox520,HourOne1,HourOneCount,HourOne,HourOneCount1,Textbox429,Textbox521,HourTwo1,HourTwoCount,HourTwo,HourTwoCount1,Textbox349,Textbox522,HourThree1,HourThreeCount,HourThree,HourThreeCount1,Textbox397,Textbox523,HourFour1,HourFourCount,HourFour,HourFourCount1,Textbox381,Textbox524,HourFive1,HourFiveCount,HourFive,HourFiveCount1,Textbox365,Textbox525,HourSix1,HourSixCount,HourSix,HourSixCount1,Textbox333,Textbox526,HourSeven1,HourSevenCount,HourSeven,HourSevenCount1,Textbox317,Textbox527,HourEight1,HourEightCount,HourEight,HourEightCount1,Textbox301,Textbox528,HourNine1,HourNineCount,HourNine,HourNineCount1,Textbox285,Textbox529,HourTen1,HourTenCount,HourTen,HourTenCount1,Textbox269,Textbox530,HourEleven1,HourElevenCount,HourEleven,HourElevenCount1,Textbox253,Textbox531,HourTwelve1,HourTwelveCount,HourTwelve,HourTwelveCount1,Textbox221,Textbox532,HourThirteen1,HourThirteenCount,HourThirteen,HourThirteenCount1,Textbox237,Textbox533,HourFourteen1,HourFourteenCount,HourFourteen,HourFourteenCount1,Textbox205,Textbox534,HourFifteen1,HourFifteenCount,HourFifteen,HourFifteenCount1,Textbox189,Textbox535,HourSixteen1,HourSixteenCount,HourSixteen,HourSixteenCount1,Textbox173,Textbox536,HourSeventeen1,HourSeventeenCount,HourSeventeen,HourSeventeenCount1,Textbox157,Textbox537,HourEighteen1,HourEighteenCount,HourEighteen,HourEighteenCount1,Textbox141,Textbox538,HourNineteen1,HourNineteenCount,HourNineteen,HourNineteenCount1,Textbox125,Textbox539,HourTwenty1,HourTwentyCount,HourTwenty,HourTwentyCount1,Textbox69,Textbox540,HourTwentyOne1,HourTwentyOneCount,HourTwentyOne,HourTwentyOneCount1,Textbox109,Textbox541,HourTwentyTwo1,HourTwentyTwoCount,HourTwentyTwo,HourTwentyTwoCount1,Textbox43,Textbox542,HourTwentyThree1,HourTwentyThreeCount,HourTwentyThree,HourTwentyThreeCount1,Textbox445,Textbox2,Textbox4,Textbox5,Textbox6,Textbox7
Take Out,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,"$1,334.49 ",5,8.22%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$118.66 ,1,0.73%,10:00 AM,$160.61 ,15,$648.91 ,42,4.00%,11:00 AM,$677.70 ,54,"$2,228.36 ",102,13.73%,12:00 PM,"$1,447.61 ",99,"$2,564.53 ",160,15.80%,1:00 PM,$979.28 ,78,"$1,927.67 ",119,11.87%,2:00 PM,$424.85 ,38,$860.20 ,65,5.30%,3:00 PM,$340.01 ,33,$649.86 ,51,4.00%,4:00 PM,$557.22 ,46,"$1,009.34 ",68,6.22%,5:00 PM,$974.86 ,64,"$1,717.50 ",99,10.58%,6:00 PM,$904.53 ,54,"$1,432.97 ",80,8.83%,7:00 PM,$672.25 ,35,"$1,014.43 ",53,6.25%,8:00 PM,$475.81 ,31,$727.96 ,42,4.48%,9:00 PM,$0.00 ,1,$0.00 ,1,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$7,614.73 ",548,"$16,234.88 ",888
Pickup,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$755.00 ,2,"$1,334.49 ",5,8.22%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$118.66 ,1,0.73%,10:00 AM,$32.80 ,2,$648.91 ,42,4.00%,11:00 AM,$285.49 ,2,"$2,228.36 ",102,13.73%,12:00 PM,$8.95 ,1,"$2,564.53 ",160,15.80%,1:00 PM,$260.15 ,2,"$1,927.67 ",119,11.87%,2:00 PM,$32.10 ,3,$860.20 ,65,5.30%,3:00 PM,$75.29 ,3,$649.86 ,51,4.00%,4:00 PM,$25.45 ,2,"$1,009.34 ",68,6.22%,5:00 PM,$0.00 ,0,"$1,717.50 ",99,10.58%,6:00 PM,$62.35 ,2,"$1,432.97 ",80,8.83%,7:00 PM,$0.00 ,0,"$1,014.43 ",53,6.25%,8:00 PM,$0.00 ,0,$727.96 ,42,4.48%,9:00 PM,$0.00 ,0,$0.00 ,1,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$1,537.58 ",19,"$16,234.88 ",888
Delivery,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,"$1,334.49 ",5,8.22%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$118.66 ,1,0.73%,10:00 AM,$12.69 ,1,$648.91 ,42,4.00%,11:00 AM,$48.27 ,3,"$2,228.36 ",102,13.73%,12:00 PM,$107.77 ,2,"$2,564.53 ",160,15.80%,1:00 PM,$23.63 ,2,"$1,927.67 ",119,11.87%,2:00 PM,$35.62 ,2,$860.20 ,65,5.30%,3:00 PM,$0.00 ,0,$649.86 ,51,4.00%,4:00 PM,$0.00 ,0,"$1,009.34 ",68,6.22%,5:00 PM,$15.74 ,1,"$1,717.50 ",99,10.58%,6:00 PM,$39.86 ,3,"$1,432.97 ",80,8.83%,7:00 PM,$20.89 ,1,"$1,014.43 ",53,6.25%,8:00 PM,$0.00 ,0,$727.96 ,42,4.48%,9:00 PM,$0.00 ,0,$0.00 ,1,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$304.47 ,15,"$16,234.88 ",888
Eat In,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,"$1,334.49 ",5,8.22%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$118.66 ,1,0.73%,10:00 AM,$0.00 ,0,$648.91 ,42,4.00%,11:00 AM,$0.00 ,0,"$2,228.36 ",102,13.73%,12:00 PM,$0.00 ,0,"$2,564.53 ",160,15.80%,1:00 PM,$0.00 ,0,"$1,927.67 ",119,11.87%,2:00 PM,$0.00 ,0,$860.20 ,65,5.30%,3:00 PM,$0.00 ,0,$649.86 ,51,4.00%,4:00 PM,$0.00 ,0,"$1,009.34 ",68,6.22%,5:00 PM,$0.00 ,0,"$1,717.50 ",99,10.58%,6:00 PM,$0.00 ,0,"$1,432.97 ",80,8.83%,7:00 PM,$0.00 ,0,"$1,014.43 ",53,6.25%,8:00 PM,$0.00 ,0,$727.96 ,42,4.48%,9:00 PM,$0.00 ,0,$0.00 ,1,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$0.00 ,0,"$16,234.88 ",888
Online Pickup,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$579.49 ,3,"$1,334.49 ",5,8.22%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$118.66 ,1,$118.66 ,1,0.73%,10:00 AM,$229.62 ,9,$648.91 ,42,4.00%,11:00 AM,$378.19 ,16,"$2,228.36 ",102,13.73%,12:00 PM,$445.25 ,28,"$2,564.53 ",160,15.80%,1:00 PM,$264.62 ,16,"$1,927.67 ",119,11.87%,2:00 PM,$133.73 ,10,$860.20 ,65,5.30%,3:00 PM,$75.35 ,6,$649.86 ,51,4.00%,4:00 PM,$225.29 ,11,"$1,009.34 ",68,6.22%,5:00 PM,$291.73 ,17,"$1,717.50 ",99,10.58%,6:00 PM,$155.80 ,8,"$1,432.97 ",80,8.83%,7:00 PM,$157.46 ,9,"$1,014.43 ",53,6.25%,8:00 PM,$81.13 ,4,$727.96 ,42,4.48%,9:00 PM,$0.00 ,0,$0.00 ,1,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$3,136.32 ",138,"$16,234.88 ",888
Online Delivery,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,"$1,334.49 ",5,8.22%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$118.66 ,1,0.73%,10:00 AM,$213.19 ,15,$648.91 ,42,4.00%,11:00 AM,$838.71 ,27,"$2,228.36 ",102,13.73%,12:00 PM,$554.95 ,30,"$2,564.53 ",160,15.80%,1:00 PM,$399.99 ,21,"$1,927.67 ",119,11.87%,2:00 PM,$233.90 ,12,$860.20 ,65,5.30%,3:00 PM,$159.21 ,9,$649.86 ,51,4.00%,4:00 PM,$201.38 ,9,"$1,009.34 ",68,6.22%,5:00 PM,$435.17 ,17,"$1,717.50 ",99,10.58%,6:00 PM,$270.43 ,13,"$1,432.97 ",80,8.83%,7:00 PM,$163.83 ,8,"$1,014.43 ",53,6.25%,8:00 PM,$171.02 ,7,$727.96 ,42,4.48%,9:00 PM,$0.00 ,0,$0.00 ,1,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$3,641.78 ",168,"$16,234.88 ",888
