Textbox543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Select a past date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Textbox490,Textbox33,Textbox491,Textbox447,Textbox84,Textbox518,Textbox544,Textbox519,ZeroHour1,ZeroHourCount,ZeroHour,ZeroHourCount1,Textbox413,Textbox520,HourOne1,HourOneCount,HourOne,HourOneCount1,Textbox429,Textbox521,HourTwo1,HourTwoCount,HourTwo,HourTwoCount1,Textbox349,Textbox522,HourThree1,HourThreeCount,HourThree,HourThreeCount1,Textbox397,Textbox523,HourFour1,HourFourCount,HourFour,HourFourCount1,Textbox381,Textbox524,HourFive1,HourFiveCount,HourFive,HourFiveCount1,Textbox365,Textbox525,HourSix1,HourSixCount,HourSix,HourSixCount1,Textbox333,Textbox526,HourSeven1,HourSevenCount,HourSeven,HourSevenCount1,Textbox317,Textbox527,HourEight1,HourEightCount,HourEight,HourEightCount1,Textbox301,Textbox528,HourNine1,HourNineCount,HourNine,HourNineCount1,Textbox285,Textbox529,HourTen1,HourTenCount,HourTen,HourTenCount1,Textbox269,Textbox530,HourEleven1,HourElevenCount,HourEleven,HourElevenCount1,Textbox253,Textbox531,HourTwelve1,HourTwelveCount,HourTwelve,HourTwelveCount1,Textbox221,Textbox532,HourThirteen1,HourThirteenCount,HourThirteen,HourThirteenCount1,Textbox237,Textbox533,HourFourteen1,HourFourteenCount,HourFourteen,HourFourteenCount1,Textbox205,Textbox534,HourFifteen1,HourFifteenCount,HourFifteen,HourFifteenCount1,Textbox189,Textbox535,HourSixteen1,HourSixteenCount,HourSixteen,HourSixteenCount1,Textbox173,Textbox536,HourSeventeen1,HourSeventeenCount,HourSeventeen,HourSeventeenCount1,Textbox157,Textbox537,HourEighteen1,HourEighteenCount,HourEighteen,HourEighteenCount1,Textbox141,Textbox538,HourNineteen1,HourNineteenCount,HourNineteen,HourNineteenCount1,Textbox125,Textbox539,HourTwenty1,HourTwentyCount,HourTwenty,HourTwentyCount1,Textbox69,Textbox540,HourTwentyOne1,HourTwentyOneCount,HourTwentyOne,HourTwentyOneCount1,Textbox109,Textbox541,HourTwentyTwo1,HourTwentyTwoCount,HourTwentyTwo,HourTwentyTwoCount1,Textbox43,Textbox542,HourTwentyThree1,HourTwentyThreeCount,HourTwentyThree,HourTwentyThreeCount1,Textbox445,Textbox2,Textbox4,Textbox5,Textbox6,Textbox7
Take Out,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$124.03 ,2,1.77%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$9.40 ,1,$52.40 ,3,0.75%,10:00 AM,$68.95 ,7,$448.59 ,16,6.40%,11:00 AM,$611.21 ,41,"$1,445.81 ",76,20.63%,12:00 PM,$645.99 ,48,"$1,212.03 ",81,17.29%,1:00 PM,$449.13 ,35,$724.34 ,52,10.33%,2:00 PM,$159.17 ,16,$313.67 ,25,4.47%,3:00 PM,$94.74 ,8,$215.63 ,15,3.08%,4:00 PM,$283.99 ,27,$411.41 ,38,5.87%,5:00 PM,$420.60 ,26,$789.57 ,44,11.26%,6:00 PM,$319.73 ,16,$507.70 ,24,7.24%,7:00 PM,$384.27 ,23,$527.85 ,31,7.53%,8:00 PM,$174.40 ,11,$236.61 ,15,3.38%,9:00 PM,$0.00 ,0,$0.00 ,0,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$3,621.58 ",259,"$7,009.64 ",422
Pickup,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$124.03 ,2,1.77%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$52.40 ,3,0.75%,10:00 AM,$142.00 ,1,$448.59 ,16,6.40%,11:00 AM,$91.10 ,1,"$1,445.81 ",76,20.63%,12:00 PM,$0.00 ,0,"$1,212.03 ",81,17.29%,1:00 PM,$0.00 ,0,$724.34 ,52,10.33%,2:00 PM,$10.15 ,1,$313.67 ,25,4.47%,3:00 PM,$0.00 ,0,$215.63 ,15,3.08%,4:00 PM,$0.00 ,0,$411.41 ,38,5.87%,5:00 PM,$0.00 ,0,$789.57 ,44,11.26%,6:00 PM,$0.00 ,0,$507.70 ,24,7.24%,7:00 PM,$0.00 ,0,$527.85 ,31,7.53%,8:00 PM,$0.00 ,0,$236.61 ,15,3.38%,9:00 PM,$0.00 ,0,$0.00 ,0,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$243.25 ,3,"$7,009.64 ",422
Delivery,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$124.03 ,2,1.77%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$52.40 ,3,0.75%,10:00 AM,$0.00 ,0,$448.59 ,16,6.40%,11:00 AM,$14.64 ,1,"$1,445.81 ",76,20.63%,12:00 PM,$139.58 ,2,"$1,212.03 ",81,17.29%,1:00 PM,$30.39 ,1,$724.34 ,52,10.33%,2:00 PM,$28.88 ,2,$313.67 ,25,4.47%,3:00 PM,$0.00 ,0,$215.63 ,15,3.08%,4:00 PM,$10.44 ,1,$411.41 ,38,5.87%,5:00 PM,$24.79 ,1,$789.57 ,44,11.26%,6:00 PM,$0.00 ,0,$507.70 ,24,7.24%,7:00 PM,$0.00 ,0,$527.85 ,31,7.53%,8:00 PM,$0.00 ,0,$236.61 ,15,3.38%,9:00 PM,$0.00 ,0,$0.00 ,0,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$248.72 ,8,"$7,009.64 ",422
Eat In,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$124.03 ,2,1.77%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$52.40 ,3,0.75%,10:00 AM,$0.00 ,0,$448.59 ,16,6.40%,11:00 AM,$0.00 ,0,"$1,445.81 ",76,20.63%,12:00 PM,$0.00 ,0,"$1,212.03 ",81,17.29%,1:00 PM,$0.00 ,0,$724.34 ,52,10.33%,2:00 PM,$0.00 ,0,$313.67 ,25,4.47%,3:00 PM,$0.00 ,0,$215.63 ,15,3.08%,4:00 PM,$0.00 ,0,$411.41 ,38,5.87%,5:00 PM,$0.00 ,0,$789.57 ,44,11.26%,6:00 PM,$0.00 ,0,$507.70 ,24,7.24%,7:00 PM,$0.00 ,0,$527.85 ,31,7.53%,8:00 PM,$0.00 ,0,$236.61 ,15,3.38%,9:00 PM,$0.00 ,0,$0.00 ,0,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$0.00 ,0,"$7,009.64 ",422
Online Pickup,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$124.03 ,2,$124.03 ,2,1.77%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$43.00 ,2,$52.40 ,3,0.75%,10:00 AM,$152.39 ,3,$448.59 ,16,6.40%,11:00 AM,$377.32 ,16,"$1,445.81 ",76,20.63%,12:00 PM,$135.31 ,13,"$1,212.03 ",81,17.29%,1:00 PM,$111.00 ,8,$724.34 ,52,10.33%,2:00 PM,$51.35 ,3,$313.67 ,25,4.47%,3:00 PM,$36.04 ,2,$215.63 ,15,3.08%,4:00 PM,$102.89 ,9,$411.41 ,38,5.87%,5:00 PM,$195.27 ,10,$789.57 ,44,11.26%,6:00 PM,$158.23 ,7,$507.70 ,24,7.24%,7:00 PM,$105.65 ,6,$527.85 ,31,7.53%,8:00 PM,$0.00 ,0,$236.61 ,15,3.38%,9:00 PM,$0.00 ,0,$0.00 ,0,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$1,592.48 ",81,"$7,009.64 ",422
Online Delivery,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$124.03 ,2,1.77%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$52.40 ,3,0.75%,10:00 AM,$85.25 ,5,$448.59 ,16,6.40%,11:00 AM,$351.54 ,17,"$1,445.81 ",76,20.63%,12:00 PM,$291.15 ,18,"$1,212.03 ",81,17.29%,1:00 PM,$133.82 ,8,$724.34 ,52,10.33%,2:00 PM,$64.12 ,3,$313.67 ,25,4.47%,3:00 PM,$84.85 ,5,$215.63 ,15,3.08%,4:00 PM,$14.09 ,1,$411.41 ,38,5.87%,5:00 PM,$148.91 ,7,$789.57 ,44,11.26%,6:00 PM,$29.74 ,1,$507.70 ,24,7.24%,7:00 PM,$37.93 ,2,$527.85 ,31,7.53%,8:00 PM,$62.21 ,4,$236.61 ,15,3.38%,9:00 PM,$0.00 ,0,$0.00 ,0,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$1,303.61 ",71,"$7,009.64 ",422
