Textbox543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Select a past date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Textbox490,Textbox33,Textbox491,Textbox447,Textbox84,Textbox518,Textbox544,Textbox519,ZeroHour1,ZeroHourCount,ZeroHour,ZeroHourCount1,Textbox413,Textbox520,HourOne1,HourOneCount,HourOne,HourOneCount1,Textbox429,Textbox521,HourTwo1,HourTwoCount,HourTwo,HourTwoCount1,Textbox349,Textbox522,HourThree1,HourThreeCount,HourThree,HourThreeCount1,Textbox397,Textbox523,HourFour1,HourFourCount,HourFour,HourFourCount1,Textbox381,Textbox524,HourFive1,HourFiveCount,HourFive,HourFiveCount1,Textbox365,Textbox525,HourSix1,HourSixCount,HourSix,HourSixCount1,Textbox333,Textbox526,HourSeven1,HourSevenCount,HourSeven,HourSevenCount1,Textbox317,Textbox527,HourEight1,HourEightCount,HourEight,HourEightCount1,Textbox301,Textbox528,HourNine1,HourNineCount,HourNine,HourNineCount1,Textbox285,Textbox529,HourTen1,HourTenCount,HourTen,HourTenCount1,Textbox269,Textbox530,HourEleven1,HourElevenCount,HourEleven,HourElevenCount1,Textbox253,Textbox531,HourTwelve1,HourTwelveCount,HourTwelve,HourTwelveCount1,Textbox221,Textbox532,HourThirteen1,HourThirteenCount,HourThirteen,HourThirteenCount1,Textbox237,Textbox533,HourFourteen1,HourFourteenCount,HourFourteen,HourFourteenCount1,Textbox205,Textbox534,HourFifteen1,HourFifteenCount,HourFifteen,HourFifteenCount1,Textbox189,Textbox535,HourSixteen1,HourSixteenCount,HourSixteen,HourSixteenCount1,Textbox173,Textbox536,HourSeventeen1,HourSeventeenCount,HourSeventeen,HourSeventeenCount1,Textbox157,Textbox537,HourEighteen1,HourEighteenCount,HourEighteen,HourEighteenCount1,Textbox141,Textbox538,HourNineteen1,HourNineteenCount,HourNineteen,HourNineteenCount1,Textbox125,Textbox539,HourTwenty1,HourTwentyCount,HourTwenty,HourTwentyCount1,Textbox69,Textbox540,HourTwentyOne1,HourTwentyOneCount,HourTwentyOne,HourTwentyOneCount1,Textbox109,Textbox541,HourTwentyTwo1,HourTwentyTwoCount,HourTwentyTwo,HourTwentyTwoCount1,Textbox43,Textbox542,HourTwentyThree1,HourTwentyThreeCount,HourTwentyThree,HourTwentyThreeCount1,Textbox445,Textbox2,Textbox4,Textbox5,Textbox6,Textbox7
Take Out,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$519.39 ,2,4.08%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$11.25 ,1,$124.79 ,3,0.98%,10:00 AM,$318.47 ,23,$530.66 ,35,4.16%,11:00 AM,$722.53 ,60,"$2,045.98 ",118,16.06%,12:00 PM,"$1,224.96 ",98,"$2,166.81 ",161,17.01%,1:00 PM,$808.67 ,56,"$1,482.29 ",104,11.63%,2:00 PM,$615.80 ,41,$843.89 ,58,6.62%,3:00 PM,$359.43 ,32,$654.65 ,49,5.14%,4:00 PM,$444.99 ,30,$661.60 ,41,5.19%,5:00 PM,$710.43 ,50,"$1,176.98 ",71,9.24%,6:00 PM,$858.50 ,56,"$1,391.61 ",81,10.92%,7:00 PM,$505.98 ,34,$719.38 ,46,5.65%,8:00 PM,$201.10 ,14,$375.23 ,25,2.95%,9:00 PM,$0.00 ,0,$47.97 ,2,0.38%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$6,782.11 ",495,"$12,741.23 ",796
Pickup,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$519.39 ,2,4.08%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$124.79 ,3,0.98%,10:00 AM,$0.00 ,0,$530.66 ,35,4.16%,11:00 AM,$40.10 ,2,"$2,045.98 ",118,16.06%,12:00 PM,$41.09 ,3,"$2,166.81 ",161,17.01%,1:00 PM,$10.15 ,1,"$1,482.29 ",104,11.63%,2:00 PM,$0.00 ,0,$843.89 ,58,6.62%,3:00 PM,$0.00 ,0,$654.65 ,49,5.14%,4:00 PM,$0.00 ,0,$661.60 ,41,5.19%,5:00 PM,$0.00 ,0,"$1,176.98 ",71,9.24%,6:00 PM,$0.00 ,0,"$1,391.61 ",81,10.92%,7:00 PM,$0.00 ,0,$719.38 ,46,5.65%,8:00 PM,$0.00 ,0,$375.23 ,25,2.95%,9:00 PM,$0.00 ,0,$47.97 ,2,0.38%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$91.34 ,6,"$12,741.23 ",796
Delivery,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$206.19 ,1,$519.39 ,2,4.08%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$124.79 ,3,0.98%,10:00 AM,$0.00 ,0,$530.66 ,35,4.16%,11:00 AM,$102.74 ,5,"$2,045.98 ",118,16.06%,12:00 PM,$11.94 ,1,"$2,166.81 ",161,17.01%,1:00 PM,$102.17 ,7,"$1,482.29 ",104,11.63%,2:00 PM,$0.00 ,0,$843.89 ,58,6.62%,3:00 PM,$0.00 ,0,$654.65 ,49,5.14%,4:00 PM,$0.00 ,0,$661.60 ,41,5.19%,5:00 PM,$23.29 ,1,"$1,176.98 ",71,9.24%,6:00 PM,$29.93 ,2,"$1,391.61 ",81,10.92%,7:00 PM,$20.89 ,1,$719.38 ,46,5.65%,8:00 PM,$0.00 ,0,$375.23 ,25,2.95%,9:00 PM,$0.00 ,0,$47.97 ,2,0.38%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$497.15 ,18,"$12,741.23 ",796
Eat In,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$519.39 ,2,4.08%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$124.79 ,3,0.98%,10:00 AM,$0.00 ,0,$530.66 ,35,4.16%,11:00 AM,$0.00 ,0,"$2,045.98 ",118,16.06%,12:00 PM,$0.00 ,0,"$2,166.81 ",161,17.01%,1:00 PM,$0.00 ,0,"$1,482.29 ",104,11.63%,2:00 PM,$0.00 ,0,$843.89 ,58,6.62%,3:00 PM,$0.00 ,0,$654.65 ,49,5.14%,4:00 PM,$0.00 ,0,$661.60 ,41,5.19%,5:00 PM,$0.00 ,0,"$1,176.98 ",71,9.24%,6:00 PM,$0.00 ,0,"$1,391.61 ",81,10.92%,7:00 PM,$0.00 ,0,$719.38 ,46,5.65%,8:00 PM,$0.00 ,0,$375.23 ,25,2.95%,9:00 PM,$0.00 ,0,$47.97 ,2,0.38%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$0.00 ,0,"$12,741.23 ",796
Online Pickup,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$313.20 ,1,$519.39 ,2,4.08%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$92.80 ,1,$124.79 ,3,0.98%,10:00 AM,$22.89 ,3,$530.66 ,35,4.16%,11:00 AM,$228.63 ,18,"$2,045.98 ",118,16.06%,12:00 PM,$341.52 ,23,"$2,166.81 ",161,17.01%,1:00 PM,$139.32 ,14,"$1,482.29 ",104,11.63%,2:00 PM,$91.43 ,8,$843.89 ,58,6.62%,3:00 PM,$197.08 ,11,$654.65 ,49,5.14%,4:00 PM,$172.53 ,9,$661.60 ,41,5.19%,5:00 PM,$240.89 ,12,"$1,176.98 ",71,9.24%,6:00 PM,$202.24 ,12,"$1,391.61 ",81,10.92%,7:00 PM,$79.34 ,5,$719.38 ,46,5.65%,8:00 PM,$32.13 ,4,$375.23 ,25,2.95%,9:00 PM,$0.00 ,0,$47.97 ,2,0.38%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$2,154.00 ",121,"$12,741.23 ",796
Online Delivery,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$519.39 ,2,4.08%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$20.74 ,1,$124.79 ,3,0.98%,10:00 AM,$189.30 ,9,$530.66 ,35,4.16%,11:00 AM,$951.98 ,33,"$2,045.98 ",118,16.06%,12:00 PM,$547.30 ,36,"$2,166.81 ",161,17.01%,1:00 PM,$421.98 ,26,"$1,482.29 ",104,11.63%,2:00 PM,$136.66 ,9,$843.89 ,58,6.62%,3:00 PM,$98.14 ,6,$654.65 ,49,5.14%,4:00 PM,$44.08 ,2,$661.60 ,41,5.19%,5:00 PM,$202.37 ,8,"$1,176.98 ",71,9.24%,6:00 PM,$300.94 ,11,"$1,391.61 ",81,10.92%,7:00 PM,$113.17 ,6,$719.38 ,46,5.65%,8:00 PM,$142.00 ,7,$375.23 ,25,2.95%,9:00 PM,$47.97 ,2,$47.97 ,2,0.38%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$3,216.63 ",156,"$12,741.23 ",796
