Textbox543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Select a past date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Textbox490,Textbox33,Textbox491,Textbox447,Textbox84,Textbox518,Textbox544,Textbox519,ZeroHour1,ZeroHourCount,ZeroHour,ZeroHourCount1,Textbox413,Textbox520,HourOne1,HourOneCount,HourOne,HourOneCount1,Textbox429,Textbox521,HourTwo1,HourTwoCount,HourTwo,HourTwoCount1,Textbox349,Textbox522,HourThree1,HourThreeCount,HourThree,HourThreeCount1,Textbox397,Textbox523,HourFour1,HourFourCount,HourFour,HourFourCount1,Textbox381,Textbox524,HourFive1,HourFiveCount,HourFive,HourFiveCount1,Textbox365,Textbox525,HourSix1,HourSixCount,HourSix,HourSixCount1,Textbox333,Textbox526,HourSeven1,HourSevenCount,HourSeven,HourSevenCount1,Textbox317,Textbox527,HourEight1,HourEightCount,HourEight,HourEightCount1,Textbox301,Textbox528,HourNine1,HourNineCount,HourNine,HourNineCount1,Textbox285,Textbox529,HourTen1,HourTenCount,HourTen,HourTenCount1,Textbox269,Textbox530,HourEleven1,HourElevenCount,HourEleven,HourElevenCount1,Textbox253,Textbox531,HourTwelve1,HourTwelveCount,HourTwelve,HourTwelveCount1,Textbox221,Textbox532,HourThirteen1,HourThirteenCount,HourThirteen,HourThirteenCount1,Textbox237,Textbox533,HourFourteen1,HourFourteenCount,HourFourteen,HourFourteenCount1,Textbox205,Textbox534,HourFifteen1,HourFifteenCount,HourFifteen,HourFifteenCount1,Textbox189,Textbox535,HourSixteen1,HourSixteenCount,HourSixteen,HourSixteenCount1,Textbox173,Textbox536,HourSeventeen1,HourSeventeenCount,HourSeventeen,HourSeventeenCount1,Textbox157,Textbox537,HourEighteen1,HourEighteenCount,HourEighteen,HourEighteenCount1,Textbox141,Textbox538,HourNineteen1,HourNineteenCount,HourNineteen,HourNineteenCount1,Textbox125,Textbox539,HourTwenty1,HourTwentyCount,HourTwenty,HourTwentyCount1,Textbox69,Textbox540,HourTwentyOne1,HourTwentyOneCount,HourTwentyOne,HourTwentyOneCount1,Textbox109,Textbox541,HourTwentyTwo1,HourTwentyTwoCount,HourTwentyTwo,HourTwentyTwoCount1,Textbox43,Textbox542,HourTwentyThree1,HourTwentyThreeCount,HourTwentyThree,HourTwentyThreeCount1,Textbox445,Textbox2,Textbox4,Textbox5,Textbox6,Textbox7
Take Out,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$418.90 ,2,2.82%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$0.00 ,0,0.00%,10:00 AM,$237.53 ,19,$851.67 ,38,5.73%,11:00 AM,"$1,019.10 ",75,"$2,551.13 ",132,17.17%,12:00 PM,"$1,264.41 ",92,"$2,498.22 ",167,16.82%,1:00 PM,$963.40 ,78,"$1,830.54 ",124,12.32%,2:00 PM,$554.30 ,43,"$1,069.69 ",79,7.20%,3:00 PM,$478.04 ,35,$892.28 ,60,6.01%,4:00 PM,$444.01 ,33,$788.06 ,50,5.30%,5:00 PM,$567.84 ,43,"$1,065.48 ",65,7.17%,6:00 PM,$812.19 ,53,"$1,469.89 ",83,9.89%,7:00 PM,$526.90 ,39,$870.90 ,56,5.86%,8:00 PM,$342.32 ,22,$549.77 ,35,3.70%,9:00 PM,$0.00 ,1,$0.00 ,2,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$7,210.04 ",533,"$14,856.53 ",893
Pickup,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$418.90 ,2,2.82%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$0.00 ,0,0.00%,10:00 AM,$0.00 ,0,$851.67 ,38,5.73%,11:00 AM,$91.10 ,1,"$2,551.13 ",132,17.17%,12:00 PM,$99.63 ,5,"$2,498.22 ",167,16.82%,1:00 PM,$53.04 ,3,"$1,830.54 ",124,12.32%,2:00 PM,$78.25 ,1,"$1,069.69 ",79,7.20%,3:00 PM,$0.00 ,0,$892.28 ,60,6.01%,4:00 PM,$11.99 ,1,$788.06 ,50,5.30%,5:00 PM,$17.90 ,1,"$1,065.48 ",65,7.17%,6:00 PM,$37.95 ,3,"$1,469.89 ",83,9.89%,7:00 PM,$0.00 ,0,$870.90 ,56,5.86%,8:00 PM,$23.95 ,2,$549.77 ,35,3.70%,9:00 PM,$0.00 ,0,$0.00 ,2,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$413.81 ,17,"$14,856.53 ",893
Delivery,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$418.90 ,2,2.82%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$0.00 ,0,0.00%,10:00 AM,$0.00 ,0,$851.67 ,38,5.73%,11:00 AM,$78.62 ,2,"$2,551.13 ",132,17.17%,12:00 PM,$80.85 ,5,"$2,498.22 ",167,16.82%,1:00 PM,$72.96 ,4,"$1,830.54 ",124,12.32%,2:00 PM,$13.73 ,1,"$1,069.69 ",79,7.20%,3:00 PM,$23.88 ,2,$892.28 ,60,6.01%,4:00 PM,$28.68 ,2,$788.06 ,50,5.30%,5:00 PM,$0.00 ,0,"$1,065.48 ",65,7.17%,6:00 PM,$0.00 ,0,"$1,469.89 ",83,9.89%,7:00 PM,$0.00 ,0,$870.90 ,56,5.86%,8:00 PM,$27.03 ,2,$549.77 ,35,3.70%,9:00 PM,$0.00 ,0,$0.00 ,2,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$325.75 ,18,"$14,856.53 ",893
Eat In,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$418.90 ,2,2.82%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$0.00 ,0,0.00%,10:00 AM,$0.00 ,0,$851.67 ,38,5.73%,11:00 AM,$0.00 ,0,"$2,551.13 ",132,17.17%,12:00 PM,$0.00 ,0,"$2,498.22 ",167,16.82%,1:00 PM,$0.00 ,0,"$1,830.54 ",124,12.32%,2:00 PM,$0.00 ,0,"$1,069.69 ",79,7.20%,3:00 PM,$0.00 ,0,$892.28 ,60,6.01%,4:00 PM,$0.00 ,0,$788.06 ,50,5.30%,5:00 PM,$0.00 ,0,"$1,065.48 ",65,7.17%,6:00 PM,$0.00 ,0,"$1,469.89 ",83,9.89%,7:00 PM,$0.00 ,0,$870.90 ,56,5.86%,8:00 PM,$0.00 ,0,$549.77 ,35,3.70%,9:00 PM,$0.00 ,0,$0.00 ,2,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$0.00 ,0,"$14,856.53 ",893
Online Pickup,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$418.90 ,2,$418.90 ,2,2.82%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$0.00 ,0,0.00%,10:00 AM,$400.03 ,7,$851.67 ,38,5.73%,11:00 AM,$580.70 ,21,"$2,551.13 ",132,17.17%,12:00 PM,$438.73 ,32,"$2,498.22 ",167,16.82%,1:00 PM,$234.74 ,16,"$1,830.54 ",124,12.32%,2:00 PM,$201.87 ,19,"$1,069.69 ",79,7.20%,3:00 PM,$168.27 ,10,$892.28 ,60,6.01%,4:00 PM,$100.76 ,7,$788.06 ,50,5.30%,5:00 PM,$214.32 ,11,"$1,065.48 ",65,7.17%,6:00 PM,$301.04 ,13,"$1,469.89 ",83,9.89%,7:00 PM,$203.40 ,10,$870.90 ,56,5.86%,8:00 PM,$62.44 ,4,$549.77 ,35,3.70%,9:00 PM,$0.00 ,0,$0.00 ,2,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$3,325.20 ",152,"$14,856.53 ",893
Online Delivery,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$418.90 ,2,2.82%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$0.00 ,0,0.00%,10:00 AM,$214.11 ,12,$851.67 ,38,5.73%,11:00 AM,$781.61 ,33,"$2,551.13 ",132,17.17%,12:00 PM,$614.60 ,33,"$2,498.22 ",167,16.82%,1:00 PM,$506.40 ,23,"$1,830.54 ",124,12.32%,2:00 PM,$221.54 ,15,"$1,069.69 ",79,7.20%,3:00 PM,$222.09 ,13,$892.28 ,60,6.01%,4:00 PM,$202.62 ,7,$788.06 ,50,5.30%,5:00 PM,$265.42 ,10,"$1,065.48 ",65,7.17%,6:00 PM,$318.71 ,14,"$1,469.89 ",83,9.89%,7:00 PM,$140.60 ,7,$870.90 ,56,5.86%,8:00 PM,$94.03 ,5,$549.77 ,35,3.70%,9:00 PM,$0.00 ,1,$0.00 ,2,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$3,581.73 ",173,"$14,856.53 ",893
