Textbox543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Select a past date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Textbox490,Textbox33,Textbox491,Textbox447,Textbox84,Textbox518,Textbox544,Textbox519,ZeroHour1,ZeroHourCount,ZeroHour,ZeroHourCount1,Textbox413,Textbox520,HourOne1,HourOneCount,HourOne,HourOneCount1,Textbox429,Textbox521,HourTwo1,HourTwoCount,HourTwo,HourTwoCount1,Textbox349,Textbox522,HourThree1,HourThreeCount,HourThree,HourThreeCount1,Textbox397,Textbox523,HourFour1,HourFourCount,HourFour,HourFourCount1,Textbox381,Textbox524,HourFive1,HourFiveCount,HourFive,HourFiveCount1,Textbox365,Textbox525,HourSix1,HourSixCount,HourSix,HourSixCount1,Textbox333,Textbox526,HourSeven1,HourSevenCount,HourSeven,HourSevenCount1,Textbox317,Textbox527,HourEight1,HourEightCount,HourEight,HourEightCount1,Textbox301,Textbox528,HourNine1,HourNineCount,HourNine,HourNineCount1,Textbox285,Textbox529,HourTen1,HourTenCount,HourTen,HourTenCount1,Textbox269,Textbox530,HourEleven1,HourElevenCount,HourEleven,HourElevenCount1,Textbox253,Textbox531,HourTwelve1,HourTwelveCount,HourTwelve,HourTwelveCount1,Textbox221,Textbox532,HourThirteen1,HourThirteenCount,HourThirteen,HourThirteenCount1,Textbox237,Textbox533,HourFourteen1,HourFourteenCount,HourFourteen,HourFourteenCount1,Textbox205,Textbox534,HourFifteen1,HourFifteenCount,HourFifteen,HourFifteenCount1,Textbox189,Textbox535,HourSixteen1,HourSixteenCount,HourSixteen,HourSixteenCount1,Textbox173,Textbox536,HourSeventeen1,HourSeventeenCount,HourSeventeen,HourSeventeenCount1,Textbox157,Textbox537,HourEighteen1,HourEighteenCount,HourEighteen,HourEighteenCount1,Textbox141,Textbox538,HourNineteen1,HourNineteenCount,HourNineteen,HourNineteenCount1,Textbox125,Textbox539,HourTwenty1,HourTwentyCount,HourTwenty,HourTwentyCount1,Textbox69,Textbox540,HourTwentyOne1,HourTwentyOneCount,HourTwentyOne,HourTwentyOneCount1,Textbox109,Textbox541,HourTwentyTwo1,HourTwentyTwoCount,HourTwentyTwo,HourTwentyTwoCount1,Textbox43,Textbox542,HourTwentyThree1,HourTwentyThreeCount,HourTwentyThree,HourTwentyThreeCount1,Textbox445,Textbox2,Textbox4,Textbox5,Textbox6,Textbox7
Take Out,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$0.00 ,0,0.00%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$23.85 ,1,0.34%,10:00 AM,$63.15 ,5,$421.34 ,13,6.06%,11:00 AM,$415.93 ,24,$821.50 ,39,11.82%,12:00 PM,$471.52 ,29,$788.19 ,45,11.34%,1:00 PM,$405.33 ,24,$835.03 ,44,12.01%,2:00 PM,$371.79 ,18,$514.79 ,27,7.41%,3:00 PM,$226.75 ,15,$445.68 ,26,6.41%,4:00 PM,$312.51 ,26,$604.38 ,36,8.70%,5:00 PM,$357.40 ,26,$551.36 ,36,7.93%,6:00 PM,$184.30 ,12,$733.32 ,31,10.55%,7:00 PM,$523.62 ,30,$912.21 ,46,13.12%,8:00 PM,$167.20 ,10,$298.77 ,15,4.30%,9:00 PM,$0.00 ,0,$0.00 ,0,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$3,499.50 ",219,"$6,950.42 ",359
Pickup,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$0.00 ,0,0.00%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$23.85 ,1,0.34%,10:00 AM,$244.76 ,3,$421.34 ,13,6.06%,11:00 AM,$42.35 ,2,$821.50 ,39,11.82%,12:00 PM,$0.00 ,0,$788.19 ,45,11.34%,1:00 PM,$12.00 ,1,$835.03 ,44,12.01%,2:00 PM,$10.15 ,1,$514.79 ,27,7.41%,3:00 PM,$0.00 ,0,$445.68 ,26,6.41%,4:00 PM,$88.70 ,2,$604.38 ,36,8.70%,5:00 PM,$0.00 ,0,$551.36 ,36,7.93%,6:00 PM,$76.15 ,2,$733.32 ,31,10.55%,7:00 PM,$0.00 ,0,$912.21 ,46,13.12%,8:00 PM,$0.00 ,0,$298.77 ,15,4.30%,9:00 PM,$0.00 ,0,$0.00 ,0,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$474.11 ,11,"$6,950.42 ",359
Delivery,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$0.00 ,0,0.00%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$23.85 ,1,0.34%,10:00 AM,$0.00 ,0,$421.34 ,13,6.06%,11:00 AM,$0.00 ,0,$821.50 ,39,11.82%,12:00 PM,$22.43 ,1,$788.19 ,45,11.34%,1:00 PM,$0.00 ,0,$835.03 ,44,12.01%,2:00 PM,$11.94 ,1,$514.79 ,27,7.41%,3:00 PM,$0.00 ,0,$445.68 ,26,6.41%,4:00 PM,$16.04 ,1,$604.38 ,36,8.70%,5:00 PM,$0.00 ,0,$551.36 ,36,7.93%,6:00 PM,$0.00 ,0,$733.32 ,31,10.55%,7:00 PM,$27.64 ,1,$912.21 ,46,13.12%,8:00 PM,$26.69 ,1,$298.77 ,15,4.30%,9:00 PM,$0.00 ,0,$0.00 ,0,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$104.74 ,5,"$6,950.42 ",359
Eat In,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$0.00 ,0,0.00%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$23.85 ,1,0.34%,10:00 AM,$0.00 ,0,$421.34 ,13,6.06%,11:00 AM,$0.00 ,0,$821.50 ,39,11.82%,12:00 PM,$0.00 ,0,$788.19 ,45,11.34%,1:00 PM,$0.00 ,0,$835.03 ,44,12.01%,2:00 PM,$0.00 ,0,$514.79 ,27,7.41%,3:00 PM,$0.00 ,0,$445.68 ,26,6.41%,4:00 PM,$0.00 ,0,$604.38 ,36,8.70%,5:00 PM,$0.00 ,0,$551.36 ,36,7.93%,6:00 PM,$0.00 ,0,$733.32 ,31,10.55%,7:00 PM,$0.00 ,0,$912.21 ,46,13.12%,8:00 PM,$0.00 ,0,$298.77 ,15,4.30%,9:00 PM,$0.00 ,0,$0.00 ,0,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$0.00 ,0,"$6,950.42 ",359
Online Pickup,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$0.00 ,0,0.00%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$23.85 ,1,$23.85 ,1,0.34%,10:00 AM,$78.15 ,3,$421.34 ,13,6.06%,11:00 AM,$188.59 ,7,$821.50 ,39,11.82%,12:00 PM,$208.29 ,10,$788.19 ,45,11.34%,1:00 PM,$111.47 ,10,$835.03 ,44,12.01%,2:00 PM,$63.15 ,4,$514.79 ,27,7.41%,3:00 PM,$83.00 ,4,$445.68 ,26,6.41%,4:00 PM,$142.15 ,5,$604.38 ,36,8.70%,5:00 PM,$168.13 ,8,$551.36 ,36,7.93%,6:00 PM,$209.62 ,9,$733.32 ,31,10.55%,7:00 PM,$145.58 ,6,$912.21 ,46,13.12%,8:00 PM,$40.49 ,2,$298.77 ,15,4.30%,9:00 PM,$0.00 ,0,$0.00 ,0,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$1,462.47 ",69,"$6,950.42 ",359
Online Delivery,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$0.00 ,0,0.00%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$23.85 ,1,0.34%,10:00 AM,$35.28 ,2,$421.34 ,13,6.06%,11:00 AM,$174.63 ,6,$821.50 ,39,11.82%,12:00 PM,$85.95 ,5,$788.19 ,45,11.34%,1:00 PM,$306.23 ,9,$835.03 ,44,12.01%,2:00 PM,$57.76 ,3,$514.79 ,27,7.41%,3:00 PM,$135.93 ,7,$445.68 ,26,6.41%,4:00 PM,$44.98 ,2,$604.38 ,36,8.70%,5:00 PM,$25.83 ,2,$551.36 ,36,7.93%,6:00 PM,$263.25 ,8,$733.32 ,31,10.55%,7:00 PM,$215.37 ,9,$912.21 ,46,13.12%,8:00 PM,$64.39 ,2,$298.77 ,15,4.30%,9:00 PM,$0.00 ,0,$0.00 ,0,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$1,409.60 ",55,"$6,950.42 ",359
