Textbox543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Select a past date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Textbox490,Textbox33,Textbox491,Textbox447,Textbox84,Textbox518,Textbox544,Textbox519,ZeroHour1,ZeroHourCount,ZeroHour,ZeroHourCount1,Textbox413,Textbox520,HourOne1,HourOneCount,HourOne,HourOneCount1,Textbox429,Textbox521,HourTwo1,HourTwoCount,HourTwo,HourTwoCount1,Textbox349,Textbox522,HourThree1,HourThreeCount,HourThree,HourThreeCount1,Textbox397,Textbox523,HourFour1,HourFourCount,HourFour,HourFourCount1,Textbox381,Textbox524,HourFive1,HourFiveCount,HourFive,HourFiveCount1,Textbox365,Textbox525,HourSix1,HourSixCount,HourSix,HourSixCount1,Textbox333,Textbox526,HourSeven1,HourSevenCount,HourSeven,HourSevenCount1,Textbox317,Textbox527,HourEight1,HourEightCount,HourEight,HourEightCount1,Textbox301,Textbox528,HourNine1,HourNineCount,HourNine,HourNineCount1,Textbox285,Textbox529,HourTen1,HourTenCount,HourTen,HourTenCount1,Textbox269,Textbox530,HourEleven1,HourElevenCount,HourEleven,HourElevenCount1,Textbox253,Textbox531,HourTwelve1,HourTwelveCount,HourTwelve,HourTwelveCount1,Textbox221,Textbox532,HourThirteen1,HourThirteenCount,HourThirteen,HourThirteenCount1,Textbox237,Textbox533,HourFourteen1,HourFourteenCount,HourFourteen,HourFourteenCount1,Textbox205,Textbox534,HourFifteen1,HourFifteenCount,HourFifteen,HourFifteenCount1,Textbox189,Textbox535,HourSixteen1,HourSixteenCount,HourSixteen,HourSixteenCount1,Textbox173,Textbox536,HourSeventeen1,HourSeventeenCount,HourSeventeen,HourSeventeenCount1,Textbox157,Textbox537,HourEighteen1,HourEighteenCount,HourEighteen,HourEighteenCount1,Textbox141,Textbox538,HourNineteen1,HourNineteenCount,HourNineteen,HourNineteenCount1,Textbox125,Textbox539,HourTwenty1,HourTwentyCount,HourTwenty,HourTwentyCount1,Textbox69,Textbox540,HourTwentyOne1,HourTwentyOneCount,HourTwentyOne,HourTwentyOneCount1,Textbox109,Textbox541,HourTwentyTwo1,HourTwentyTwoCount,HourTwentyTwo,HourTwentyTwoCount1,Textbox43,Textbox542,HourTwentyThree1,HourTwentyThreeCount,HourTwentyThree,HourTwentyThreeCount1,Textbox445,Textbox2,Textbox4,Textbox5,Textbox6,Textbox7
Take Out,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$273.29 ,1,3.16%,6:00 AM,$0.00 ,0,$115.50 ,1,1.33%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$0.00 ,0,0.00%,10:00 AM,$240.65 ,16,$615.68 ,35,7.11%,11:00 AM,$356.04 ,29,"$1,139.93 ",60,13.16%,12:00 PM,$793.56 ,57,"$1,364.26 ",91,15.76%,1:00 PM,$518.74 ,37,"$1,018.57 ",61,11.76%,2:00 PM,$362.36 ,26,$979.28 ,52,11.31%,3:00 PM,$275.67 ,19,$448.72 ,29,5.18%,4:00 PM,$296.20 ,23,$550.83 ,39,6.36%,5:00 PM,$217.55 ,18,$541.92 ,31,6.26%,6:00 PM,$395.45 ,25,$746.98 ,43,8.63%,7:00 PM,$224.06 ,19,$351.26 ,25,4.06%,8:00 PM,$312.52 ,22,$504.37 ,32,5.82%,9:00 PM,$8.45 ,1,$8.45 ,3,0.10%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$4,001.25 ",292,"$8,659.04 ",503
Pickup,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$273.29 ,1,3.16%,6:00 AM,$0.00 ,0,$115.50 ,1,1.33%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$0.00 ,0,0.00%,10:00 AM,$0.00 ,0,$615.68 ,35,7.11%,11:00 AM,$259.30 ,2,"$1,139.93 ",60,13.16%,12:00 PM,$17.90 ,1,"$1,364.26 ",91,15.76%,1:00 PM,$0.00 ,0,"$1,018.57 ",61,11.76%,2:00 PM,$79.90 ,1,$979.28 ,52,11.31%,3:00 PM,$0.00 ,0,$448.72 ,29,5.18%,4:00 PM,$10.90 ,1,$550.83 ,39,6.36%,5:00 PM,$35.80 ,1,$541.92 ,31,6.26%,6:00 PM,$0.00 ,0,$746.98 ,43,8.63%,7:00 PM,$0.00 ,0,$351.26 ,25,4.06%,8:00 PM,$9.70 ,1,$504.37 ,32,5.82%,9:00 PM,$0.00 ,0,$8.45 ,3,0.10%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$413.50 ,7,"$8,659.04 ",503
Delivery,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$273.29 ,1,3.16%,6:00 AM,$0.00 ,0,$115.50 ,1,1.33%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$0.00 ,0,0.00%,10:00 AM,$14.99 ,1,$615.68 ,35,7.11%,11:00 AM,$26.99 ,1,"$1,139.93 ",60,13.16%,12:00 PM,$56.83 ,2,"$1,364.26 ",91,15.76%,1:00 PM,$31.27 ,2,"$1,018.57 ",61,11.76%,2:00 PM,$0.00 ,0,$979.28 ,52,11.31%,3:00 PM,$23.14 ,1,$448.72 ,29,5.18%,4:00 PM,$32.68 ,2,$550.83 ,39,6.36%,5:00 PM,$0.00 ,0,$541.92 ,31,6.26%,6:00 PM,$10.44 ,1,$746.98 ,43,8.63%,7:00 PM,$36.78 ,2,$351.26 ,25,4.06%,8:00 PM,$0.00 ,0,$504.37 ,32,5.82%,9:00 PM,$0.00 ,0,$8.45 ,3,0.10%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$233.12 ,12,"$8,659.04 ",503
Eat In,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$273.29 ,1,3.16%,6:00 AM,$0.00 ,0,$115.50 ,1,1.33%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$0.00 ,0,0.00%,10:00 AM,$0.00 ,0,$615.68 ,35,7.11%,11:00 AM,$0.00 ,0,"$1,139.93 ",60,13.16%,12:00 PM,$0.00 ,0,"$1,364.26 ",91,15.76%,1:00 PM,$0.00 ,0,"$1,018.57 ",61,11.76%,2:00 PM,$0.00 ,0,$979.28 ,52,11.31%,3:00 PM,$0.00 ,0,$448.72 ,29,5.18%,4:00 PM,$0.00 ,0,$550.83 ,39,6.36%,5:00 PM,$0.00 ,0,$541.92 ,31,6.26%,6:00 PM,$0.00 ,0,$746.98 ,43,8.63%,7:00 PM,$0.00 ,0,$351.26 ,25,4.06%,8:00 PM,$0.00 ,0,$504.37 ,32,5.82%,9:00 PM,$0.00 ,0,$8.45 ,3,0.10%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$0.00 ,0,"$8,659.04 ",503
Online Pickup,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$273.29 ,1,3.16%,6:00 AM,$115.50 ,1,$115.50 ,1,1.33%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$0.00 ,0,0.00%,10:00 AM,$198.43 ,9,$615.68 ,35,7.11%,11:00 AM,$97.44 ,8,"$1,139.93 ",60,13.16%,12:00 PM,$122.54 ,8,"$1,364.26 ",91,15.76%,1:00 PM,$317.56 ,13,"$1,018.57 ",61,11.76%,2:00 PM,$355.51 ,16,$979.28 ,52,11.31%,3:00 PM,$89.39 ,6,$448.72 ,29,5.18%,4:00 PM,$144.68 ,10,$550.83 ,39,6.36%,5:00 PM,$132.92 ,6,$541.92 ,31,6.26%,6:00 PM,$176.94 ,8,$746.98 ,43,8.63%,7:00 PM,$11.55 ,1,$351.26 ,25,4.06%,8:00 PM,$67.29 ,3,$504.37 ,32,5.82%,9:00 PM,$0.00 ,2,$8.45 ,3,0.10%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$1,829.75 ",91,"$8,659.04 ",503
Online Delivery,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$273.29 ,1,$273.29 ,1,3.16%,6:00 AM,$0.00 ,0,$115.50 ,1,1.33%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$0.00 ,0,0.00%,10:00 AM,$161.61 ,9,$615.68 ,35,7.11%,11:00 AM,$400.16 ,20,"$1,139.93 ",60,13.16%,12:00 PM,$373.43 ,23,"$1,364.26 ",91,15.76%,1:00 PM,$151.00 ,9,"$1,018.57 ",61,11.76%,2:00 PM,$181.51 ,9,$979.28 ,52,11.31%,3:00 PM,$60.52 ,3,$448.72 ,29,5.18%,4:00 PM,$66.37 ,3,$550.83 ,39,6.36%,5:00 PM,$155.65 ,6,$541.92 ,31,6.26%,6:00 PM,$164.15 ,9,$746.98 ,43,8.63%,7:00 PM,$78.87 ,3,$351.26 ,25,4.06%,8:00 PM,$114.86 ,6,$504.37 ,32,5.82%,9:00 PM,$0.00 ,0,$8.45 ,3,0.10%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$2,181.42 ",101,"$8,659.04 ",503
