Textbox543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Select a past date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Textbox490,Textbox33,Textbox491,Textbox447,Textbox84,Textbox518,Textbox544,Textbox519,ZeroHour1,ZeroHourCount,ZeroHour,ZeroHourCount1,Textbox413,Textbox520,HourOne1,HourOneCount,HourOne,HourOneCount1,Textbox429,Textbox521,HourTwo1,HourTwoCount,HourTwo,HourTwoCount1,Textbox349,Textbox522,HourThree1,HourThreeCount,HourThree,HourThreeCount1,Textbox397,Textbox523,HourFour1,HourFourCount,HourFour,HourFourCount1,Textbox381,Textbox524,HourFive1,HourFiveCount,HourFive,HourFiveCount1,Textbox365,Textbox525,HourSix1,HourSixCount,HourSix,HourSixCount1,Textbox333,Textbox526,HourSeven1,HourSevenCount,HourSeven,HourSevenCount1,Textbox317,Textbox527,HourEight1,HourEightCount,HourEight,HourEightCount1,Textbox301,Textbox528,HourNine1,HourNineCount,HourNine,HourNineCount1,Textbox285,Textbox529,HourTen1,HourTenCount,HourTen,HourTenCount1,Textbox269,Textbox530,HourEleven1,HourElevenCount,HourEleven,HourElevenCount1,Textbox253,Textbox531,HourTwelve1,HourTwelveCount,HourTwelve,HourTwelveCount1,Textbox221,Textbox532,HourThirteen1,HourThirteenCount,HourThirteen,HourThirteenCount1,Textbox237,Textbox533,HourFourteen1,HourFourteenCount,HourFourteen,HourFourteenCount1,Textbox205,Textbox534,HourFifteen1,HourFifteenCount,HourFifteen,HourFifteenCount1,Textbox189,Textbox535,HourSixteen1,HourSixteenCount,HourSixteen,HourSixteenCount1,Textbox173,Textbox536,HourSeventeen1,HourSeventeenCount,HourSeventeen,HourSeventeenCount1,Textbox157,Textbox537,HourEighteen1,HourEighteenCount,HourEighteen,HourEighteenCount1,Textbox141,Textbox538,HourNineteen1,HourNineteenCount,HourNineteen,HourNineteenCount1,Textbox125,Textbox539,HourTwenty1,HourTwentyCount,HourTwenty,HourTwentyCount1,Textbox69,Textbox540,HourTwentyOne1,HourTwentyOneCount,HourTwentyOne,HourTwentyOneCount1,Textbox109,Textbox541,HourTwentyTwo1,HourTwentyTwoCount,HourTwentyTwo,HourTwentyTwoCount1,Textbox43,Textbox542,HourTwentyThree1,HourTwentyThreeCount,HourTwentyThree,HourTwentyThreeCount1,Textbox445,Textbox2,Textbox4,Textbox5,Textbox6,Textbox7
Take Out,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$149.00 ,1,2.42%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$22.59 ,1,0.37%,10:00 AM,$83.99 ,8,$149.47 ,12,2.42%,11:00 AM,$606.94 ,34,$957.35 ,50,15.52%,12:00 PM,$579.32 ,34,$868.23 ,46,14.08%,1:00 PM,$657.18 ,37,$909.90 ,49,14.75%,2:00 PM,$453.74 ,26,$589.59 ,35,9.56%,3:00 PM,$357.78 ,30,$416.01 ,35,6.75%,4:00 PM,$293.94 ,20,$458.80 ,30,7.44%,5:00 PM,$292.70 ,24,$625.92 ,33,10.15%,6:00 PM,$247.68 ,21,$466.53 ,30,7.57%,7:00 PM,$436.17 ,20,$472.16 ,24,7.66%,8:00 PM,$54.10 ,5,$81.40 ,7,1.32%,9:00 PM,$0.00 ,0,$0.00 ,0,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$4,063.54 ",259,"$6,166.95 ",353
Pickup,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$149.00 ,1,2.42%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$22.59 ,1,0.37%,10:00 AM,$17.90 ,1,$149.47 ,12,2.42%,11:00 AM,$21.95 ,1,$957.35 ,50,15.52%,12:00 PM,$19.70 ,1,$868.23 ,46,14.08%,1:00 PM,$0.00 ,0,$909.90 ,49,14.75%,2:00 PM,$10.60 ,1,$589.59 ,35,9.56%,3:00 PM,$0.00 ,0,$416.01 ,35,6.75%,4:00 PM,$0.00 ,0,$458.80 ,30,7.44%,5:00 PM,$0.00 ,0,$625.92 ,33,10.15%,6:00 PM,$0.00 ,0,$466.53 ,30,7.57%,7:00 PM,$0.00 ,0,$472.16 ,24,7.66%,8:00 PM,$15.10 ,1,$81.40 ,7,1.32%,9:00 PM,$0.00 ,0,$0.00 ,0,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$85.25 ,5,"$6,166.95 ",353
Delivery,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$149.00 ,1,2.42%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$22.59 ,1,0.37%,10:00 AM,$0.00 ,0,$149.47 ,12,2.42%,11:00 AM,$0.00 ,0,$957.35 ,50,15.52%,12:00 PM,$0.00 ,0,$868.23 ,46,14.08%,1:00 PM,$16.14 ,1,$909.90 ,49,14.75%,2:00 PM,$16.64 ,1,$589.59 ,35,9.56%,3:00 PM,$0.00 ,0,$416.01 ,35,6.75%,4:00 PM,$15.94 ,1,$458.80 ,30,7.44%,5:00 PM,$36.54 ,1,$625.92 ,33,10.15%,6:00 PM,$0.00 ,0,$466.53 ,30,7.57%,7:00 PM,$0.00 ,0,$472.16 ,24,7.66%,8:00 PM,$0.00 ,0,$81.40 ,7,1.32%,9:00 PM,$0.00 ,0,$0.00 ,0,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$85.26 ,4,"$6,166.95 ",353
Eat In,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$149.00 ,1,2.42%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$22.59 ,1,0.37%,10:00 AM,$0.00 ,0,$149.47 ,12,2.42%,11:00 AM,$0.00 ,0,$957.35 ,50,15.52%,12:00 PM,$0.00 ,0,$868.23 ,46,14.08%,1:00 PM,$0.00 ,0,$909.90 ,49,14.75%,2:00 PM,$0.00 ,0,$589.59 ,35,9.56%,3:00 PM,$0.00 ,0,$416.01 ,35,6.75%,4:00 PM,$0.00 ,0,$458.80 ,30,7.44%,5:00 PM,$0.00 ,0,$625.92 ,33,10.15%,6:00 PM,$0.00 ,0,$466.53 ,30,7.57%,7:00 PM,$0.00 ,0,$472.16 ,24,7.66%,8:00 PM,$0.00 ,0,$81.40 ,7,1.32%,9:00 PM,$0.00 ,0,$0.00 ,0,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$0.00 ,0,"$6,166.95 ",353
Online Pickup,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$149.00 ,1,$149.00 ,1,2.42%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$22.59 ,1,$22.59 ,1,0.37%,10:00 AM,$8.95 ,1,$149.47 ,12,2.42%,11:00 AM,$195.15 ,7,$957.35 ,50,15.52%,12:00 PM,$160.49 ,7,$868.23 ,46,14.08%,1:00 PM,$113.08 ,6,$909.90 ,49,14.75%,2:00 PM,$45.40 ,3,$589.59 ,35,9.56%,3:00 PM,$40.49 ,4,$416.01 ,35,6.75%,4:00 PM,$76.00 ,5,$458.80 ,30,7.44%,5:00 PM,$265.14 ,7,$625.92 ,33,10.15%,6:00 PM,$71.99 ,3,$466.53 ,30,7.57%,7:00 PM,$35.99 ,4,$472.16 ,24,7.66%,8:00 PM,$0.00 ,0,$81.40 ,7,1.32%,9:00 PM,$0.00 ,0,$0.00 ,0,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$1,184.27 ",49,"$6,166.95 ",353
Online Delivery,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$149.00 ,1,2.42%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$22.59 ,1,0.37%,10:00 AM,$38.63 ,2,$149.47 ,12,2.42%,11:00 AM,$133.31 ,8,$957.35 ,50,15.52%,12:00 PM,$108.72 ,4,$868.23 ,46,14.08%,1:00 PM,$123.50 ,5,$909.90 ,49,14.75%,2:00 PM,$63.21 ,4,$589.59 ,35,9.56%,3:00 PM,$17.74 ,1,$416.01 ,35,6.75%,4:00 PM,$72.92 ,4,$458.80 ,30,7.44%,5:00 PM,$31.54 ,1,$625.92 ,33,10.15%,6:00 PM,$146.86 ,6,$466.53 ,30,7.57%,7:00 PM,$0.00 ,0,$472.16 ,24,7.66%,8:00 PM,$12.20 ,1,$81.40 ,7,1.32%,9:00 PM,$0.00 ,0,$0.00 ,0,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$748.63 ,36,"$6,166.95 ",353
