Textbox543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Select a past date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Textbox490,Textbox33,Textbox491,Textbox447,Textbox84,Textbox518,Textbox544,Textbox519,ZeroHour1,ZeroHourCount,ZeroHour,ZeroHourCount1,Textbox413,Textbox520,HourOne1,HourOneCount,HourOne,HourOneCount1,Textbox429,Textbox521,HourTwo1,HourTwoCount,HourTwo,HourTwoCount1,Textbox349,Textbox522,HourThree1,HourThreeCount,HourThree,HourThreeCount1,Textbox397,Textbox523,HourFour1,HourFourCount,HourFour,HourFourCount1,Textbox381,Textbox524,HourFive1,HourFiveCount,HourFive,HourFiveCount1,Textbox365,Textbox525,HourSix1,HourSixCount,HourSix,HourSixCount1,Textbox333,Textbox526,HourSeven1,HourSevenCount,HourSeven,HourSevenCount1,Textbox317,Textbox527,HourEight1,HourEightCount,HourEight,HourEightCount1,Textbox301,Textbox528,HourNine1,HourNineCount,HourNine,HourNineCount1,Textbox285,Textbox529,HourTen1,HourTenCount,HourTen,HourTenCount1,Textbox269,Textbox530,HourEleven1,HourElevenCount,HourEleven,HourElevenCount1,Textbox253,Textbox531,HourTwelve1,HourTwelveCount,HourTwelve,HourTwelveCount1,Textbox221,Textbox532,HourThirteen1,HourThirteenCount,HourThirteen,HourThirteenCount1,Textbox237,Textbox533,HourFourteen1,HourFourteenCount,HourFourteen,HourFourteenCount1,Textbox205,Textbox534,HourFifteen1,HourFifteenCount,HourFifteen,HourFifteenCount1,Textbox189,Textbox535,HourSixteen1,HourSixteenCount,HourSixteen,HourSixteenCount1,Textbox173,Textbox536,HourSeventeen1,HourSeventeenCount,HourSeventeen,HourSeventeenCount1,Textbox157,Textbox537,HourEighteen1,HourEighteenCount,HourEighteen,HourEighteenCount1,Textbox141,Textbox538,HourNineteen1,HourNineteenCount,HourNineteen,HourNineteenCount1,Textbox125,Textbox539,HourTwenty1,HourTwentyCount,HourTwenty,HourTwentyCount1,Textbox69,Textbox540,HourTwentyOne1,HourTwentyOneCount,HourTwentyOne,HourTwentyOneCount1,Textbox109,Textbox541,HourTwentyTwo1,HourTwentyTwoCount,HourTwentyTwo,HourTwentyTwoCount1,Textbox43,Textbox542,HourTwentyThree1,HourTwentyThreeCount,HourTwentyThree,HourTwentyThreeCount1,Textbox445,Textbox2,Textbox4,Textbox5,Textbox6,Textbox7
Take Out,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$462.00 ,1,5.47%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$0.00 ,0,0.00%,10:00 AM,$77.03 ,8,$383.20 ,22,4.54%,11:00 AM,$283.86 ,22,"$1,555.71 ",54,18.43%,12:00 PM,$735.48 ,50,"$1,452.97 ",86,17.22%,1:00 PM,$536.98 ,45,"$1,111.11 ",64,13.17%,2:00 PM,$225.27 ,22,$499.45 ,40,5.92%,3:00 PM,$188.38 ,18,$389.96 ,30,4.62%,4:00 PM,$267.52 ,23,$489.84 ,34,5.80%,5:00 PM,$469.38 ,34,$775.01 ,50,9.18%,6:00 PM,$397.03 ,24,$575.85 ,34,6.82%,7:00 PM,$200.49 ,12,$368.71 ,22,4.37%,8:00 PM,$234.15 ,16,$375.91 ,21,4.45%,9:00 PM,$0.00 ,1,$0.00 ,1,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$3,615.57 ",275,"$8,439.72 ",459
Pickup,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$462.00 ,1,$462.00 ,1,5.47%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$0.00 ,0,0.00%,10:00 AM,$32.80 ,2,$383.20 ,22,4.54%,11:00 AM,$266.50 ,1,"$1,555.71 ",54,18.43%,12:00 PM,$0.00 ,0,"$1,452.97 ",86,17.22%,1:00 PM,$260.15 ,2,"$1,111.11 ",64,13.17%,2:00 PM,$25.35 ,2,$499.45 ,40,5.92%,3:00 PM,$34.79 ,2,$389.96 ,30,4.62%,4:00 PM,$9.70 ,1,$489.84 ,34,5.80%,5:00 PM,$0.00 ,0,$775.01 ,50,9.18%,6:00 PM,$0.00 ,0,$575.85 ,34,6.82%,7:00 PM,$0.00 ,0,$368.71 ,22,4.37%,8:00 PM,$0.00 ,0,$375.91 ,21,4.45%,9:00 PM,$0.00 ,0,$0.00 ,1,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$1,091.29 ",11,"$8,439.72 ",459
Delivery,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$462.00 ,1,5.47%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$0.00 ,0,0.00%,10:00 AM,$0.00 ,0,$383.20 ,22,4.54%,11:00 AM,$26.38 ,2,"$1,555.71 ",54,18.43%,12:00 PM,$78.79 ,1,"$1,452.97 ",86,17.22%,1:00 PM,$0.00 ,0,"$1,111.11 ",64,13.17%,2:00 PM,$12.39 ,1,$499.45 ,40,5.92%,3:00 PM,$0.00 ,0,$389.96 ,30,4.62%,4:00 PM,$0.00 ,0,$489.84 ,34,5.80%,5:00 PM,$15.74 ,1,$775.01 ,50,9.18%,6:00 PM,$0.00 ,0,$575.85 ,34,6.82%,7:00 PM,$0.00 ,0,$368.71 ,22,4.37%,8:00 PM,$0.00 ,0,$375.91 ,21,4.45%,9:00 PM,$0.00 ,0,$0.00 ,1,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$133.30 ,5,"$8,439.72 ",459
Eat In,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$462.00 ,1,5.47%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$0.00 ,0,0.00%,10:00 AM,$0.00 ,0,$383.20 ,22,4.54%,11:00 AM,$0.00 ,0,"$1,555.71 ",54,18.43%,12:00 PM,$0.00 ,0,"$1,452.97 ",86,17.22%,1:00 PM,$0.00 ,0,"$1,111.11 ",64,13.17%,2:00 PM,$0.00 ,0,$499.45 ,40,5.92%,3:00 PM,$0.00 ,0,$389.96 ,30,4.62%,4:00 PM,$0.00 ,0,$489.84 ,34,5.80%,5:00 PM,$0.00 ,0,$775.01 ,50,9.18%,6:00 PM,$0.00 ,0,$575.85 ,34,6.82%,7:00 PM,$0.00 ,0,$368.71 ,22,4.37%,8:00 PM,$0.00 ,0,$375.91 ,21,4.45%,9:00 PM,$0.00 ,0,$0.00 ,1,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$0.00 ,0,"$8,439.72 ",459
Online Pickup,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$462.00 ,1,5.47%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$0.00 ,0,0.00%,10:00 AM,$165.72 ,5,$383.20 ,22,4.54%,11:00 AM,$318.29 ,13,"$1,555.71 ",54,18.43%,12:00 PM,$310.08 ,18,"$1,452.97 ",86,17.22%,1:00 PM,$81.49 ,6,"$1,111.11 ",64,13.17%,2:00 PM,$63.15 ,6,$499.45 ,40,5.92%,3:00 PM,$49.85 ,4,$389.96 ,30,4.62%,4:00 PM,$116.08 ,6,$489.84 ,34,5.80%,5:00 PM,$93.90 ,6,$775.01 ,50,9.18%,6:00 PM,$40.45 ,3,$575.85 ,34,6.82%,7:00 PM,$81.85 ,5,$368.71 ,22,4.37%,8:00 PM,$24.90 ,1,$375.91 ,21,4.45%,9:00 PM,$0.00 ,0,$0.00 ,1,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$1,345.76 ",73,"$8,439.72 ",459
Online Delivery,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$462.00 ,1,5.47%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$0.00 ,0,0.00%,10:00 AM,$107.65 ,7,$383.20 ,22,4.54%,11:00 AM,$660.68 ,16,"$1,555.71 ",54,18.43%,12:00 PM,$328.62 ,17,"$1,452.97 ",86,17.22%,1:00 PM,$232.49 ,11,"$1,111.11 ",64,13.17%,2:00 PM,$173.29 ,9,$499.45 ,40,5.92%,3:00 PM,$116.94 ,6,$389.96 ,30,4.62%,4:00 PM,$96.54 ,4,$489.84 ,34,5.80%,5:00 PM,$195.99 ,9,$775.01 ,50,9.18%,6:00 PM,$138.37 ,7,$575.85 ,34,6.82%,7:00 PM,$86.37 ,5,$368.71 ,22,4.37%,8:00 PM,$116.86 ,4,$375.91 ,21,4.45%,9:00 PM,$0.00 ,0,$0.00 ,1,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$2,253.80 ",95,"$8,439.72 ",459
