Textbox543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Select a past date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Textbox490,Textbox33,Textbox491,Textbox447,Textbox84,Textbox518,Textbox544,Textbox519,ZeroHour1,ZeroHourCount,ZeroHour,ZeroHourCount1,Textbox413,Textbox520,HourOne1,HourOneCount,HourOne,HourOneCount1,Textbox429,Textbox521,HourTwo1,HourTwoCount,HourTwo,HourTwoCount1,Textbox349,Textbox522,HourThree1,HourThreeCount,HourThree,HourThreeCount1,Textbox397,Textbox523,HourFour1,HourFourCount,HourFour,HourFourCount1,Textbox381,Textbox524,HourFive1,HourFiveCount,HourFive,HourFiveCount1,Textbox365,Textbox525,HourSix1,HourSixCount,HourSix,HourSixCount1,Textbox333,Textbox526,HourSeven1,HourSevenCount,HourSeven,HourSevenCount1,Textbox317,Textbox527,HourEight1,HourEightCount,HourEight,HourEightCount1,Textbox301,Textbox528,HourNine1,HourNineCount,HourNine,HourNineCount1,Textbox285,Textbox529,HourTen1,HourTenCount,HourTen,HourTenCount1,Textbox269,Textbox530,HourEleven1,HourElevenCount,HourEleven,HourElevenCount1,Textbox253,Textbox531,HourTwelve1,HourTwelveCount,HourTwelve,HourTwelveCount1,Textbox221,Textbox532,HourThirteen1,HourThirteenCount,HourThirteen,HourThirteenCount1,Textbox237,Textbox533,HourFourteen1,HourFourteenCount,HourFourteen,HourFourteenCount1,Textbox205,Textbox534,HourFifteen1,HourFifteenCount,HourFifteen,HourFifteenCount1,Textbox189,Textbox535,HourSixteen1,HourSixteenCount,HourSixteen,HourSixteenCount1,Textbox173,Textbox536,HourSeventeen1,HourSeventeenCount,HourSeventeen,HourSeventeenCount1,Textbox157,Textbox537,HourEighteen1,HourEighteenCount,HourEighteen,HourEighteenCount1,Textbox141,Textbox538,HourNineteen1,HourNineteenCount,HourNineteen,HourNineteenCount1,Textbox125,Textbox539,HourTwenty1,HourTwentyCount,HourTwenty,HourTwentyCount1,Textbox69,Textbox540,HourTwentyOne1,HourTwentyOneCount,HourTwentyOne,HourTwentyOneCount1,Textbox109,Textbox541,HourTwentyTwo1,HourTwentyTwoCount,HourTwentyTwo,HourTwentyTwoCount1,Textbox43,Textbox542,HourTwentyThree1,HourTwentyThreeCount,HourTwentyThree,HourTwentyThreeCount1,Textbox445,Textbox2,Textbox4,Textbox5,Textbox6,Textbox7
Take Out,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$313.20 ,1,4.50%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$11.25 ,1,$31.99 ,2,0.46%,10:00 AM,$208.49 ,14,$328.32 ,21,4.72%,11:00 AM,$489.26 ,40,"$1,284.75 ",70,18.45%,12:00 PM,$722.95 ,56,"$1,173.05 ",84,16.85%,1:00 PM,$415.20 ,27,$645.85 ,45,9.28%,2:00 PM,$470.32 ,27,$557.29 ,33,8.00%,3:00 PM,$160.54 ,12,$283.81 ,20,4.08%,4:00 PM,$243.75 ,14,$403.94 ,21,5.80%,5:00 PM,$433.07 ,28,$637.20 ,37,9.15%,6:00 PM,$464.72 ,31,$767.54 ,46,11.03%,7:00 PM,$279.49 ,17,$384.45 ,22,5.52%,8:00 PM,$57.10 ,6,$150.41 ,11,2.16%,9:00 PM,$0.00 ,0,$0.00 ,0,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$3,956.14 ",273,"$6,961.80 ",413
Pickup,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$313.20 ,1,4.50%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$31.99 ,2,0.46%,10:00 AM,$0.00 ,0,$328.32 ,21,4.72%,11:00 AM,$23.85 ,1,"$1,284.75 ",70,18.45%,12:00 PM,$29.10 ,2,"$1,173.05 ",84,16.85%,1:00 PM,$0.00 ,0,$645.85 ,45,9.28%,2:00 PM,$0.00 ,0,$557.29 ,33,8.00%,3:00 PM,$0.00 ,0,$283.81 ,20,4.08%,4:00 PM,$0.00 ,0,$403.94 ,21,5.80%,5:00 PM,$0.00 ,0,$637.20 ,37,9.15%,6:00 PM,$0.00 ,0,$767.54 ,46,11.03%,7:00 PM,$0.00 ,0,$384.45 ,22,5.52%,8:00 PM,$0.00 ,0,$150.41 ,11,2.16%,9:00 PM,$0.00 ,0,$0.00 ,0,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$52.95 ,3,"$6,961.80 ",413
Delivery,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$313.20 ,1,4.50%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$31.99 ,2,0.46%,10:00 AM,$0.00 ,0,$328.32 ,21,4.72%,11:00 AM,$70.92 ,3,"$1,284.75 ",70,18.45%,12:00 PM,$11.94 ,1,"$1,173.05 ",84,16.85%,1:00 PM,$51.76 ,4,$645.85 ,45,9.28%,2:00 PM,$0.00 ,0,$557.29 ,33,8.00%,3:00 PM,$0.00 ,0,$283.81 ,20,4.08%,4:00 PM,$0.00 ,0,$403.94 ,21,5.80%,5:00 PM,$0.00 ,0,$637.20 ,37,9.15%,6:00 PM,$10.44 ,1,$767.54 ,46,11.03%,7:00 PM,$0.00 ,0,$384.45 ,22,5.52%,8:00 PM,$0.00 ,0,$150.41 ,11,2.16%,9:00 PM,$0.00 ,0,$0.00 ,0,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$145.06 ,9,"$6,961.80 ",413
Eat In,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$313.20 ,1,4.50%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$31.99 ,2,0.46%,10:00 AM,$0.00 ,0,$328.32 ,21,4.72%,11:00 AM,$0.00 ,0,"$1,284.75 ",70,18.45%,12:00 PM,$0.00 ,0,"$1,173.05 ",84,16.85%,1:00 PM,$0.00 ,0,$645.85 ,45,9.28%,2:00 PM,$0.00 ,0,$557.29 ,33,8.00%,3:00 PM,$0.00 ,0,$283.81 ,20,4.08%,4:00 PM,$0.00 ,0,$403.94 ,21,5.80%,5:00 PM,$0.00 ,0,$637.20 ,37,9.15%,6:00 PM,$0.00 ,0,$767.54 ,46,11.03%,7:00 PM,$0.00 ,0,$384.45 ,22,5.52%,8:00 PM,$0.00 ,0,$150.41 ,11,2.16%,9:00 PM,$0.00 ,0,$0.00 ,0,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$0.00 ,0,"$6,961.80 ",413
Online Pickup,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$313.20 ,1,$313.20 ,1,4.50%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$31.99 ,2,0.46%,10:00 AM,$15.44 ,2,$328.32 ,21,4.72%,11:00 AM,$135.07 ,10,"$1,284.75 ",70,18.45%,12:00 PM,$241.17 ,12,"$1,173.05 ",84,16.85%,1:00 PM,$41.94 ,5,$645.85 ,45,9.28%,2:00 PM,$31.89 ,3,$557.29 ,33,8.00%,3:00 PM,$62.25 ,5,$283.81 ,20,4.08%,4:00 PM,$131.30 ,6,$403.94 ,21,5.80%,5:00 PM,$127.55 ,6,$637.20 ,37,9.15%,6:00 PM,$133.84 ,8,$767.54 ,46,11.03%,7:00 PM,$35.40 ,2,$384.45 ,22,5.52%,8:00 PM,$9.40 ,1,$150.41 ,11,2.16%,9:00 PM,$0.00 ,0,$0.00 ,0,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$1,278.45 ",61,"$6,961.80 ",413
Online Delivery,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$313.20 ,1,4.50%,6:00 AM,$0.00 ,0,$0.00 ,0,0.00%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$20.74 ,1,$31.99 ,2,0.46%,10:00 AM,$104.39 ,5,$328.32 ,21,4.72%,11:00 AM,$565.65 ,16,"$1,284.75 ",70,18.45%,12:00 PM,$167.89 ,13,"$1,173.05 ",84,16.85%,1:00 PM,$136.95 ,9,$645.85 ,45,9.28%,2:00 PM,$55.08 ,3,$557.29 ,33,8.00%,3:00 PM,$61.02 ,3,$283.81 ,20,4.08%,4:00 PM,$28.89 ,1,$403.94 ,21,5.80%,5:00 PM,$76.58 ,3,$637.20 ,37,9.15%,6:00 PM,$158.54 ,6,$767.54 ,46,11.03%,7:00 PM,$69.56 ,3,$384.45 ,22,5.52%,8:00 PM,$83.91 ,4,$150.41 ,11,2.16%,9:00 PM,$0.00 ,0,$0.00 ,0,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$1,529.20 ",67,"$6,961.80 ",413
