Textbox543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Select a past date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Textbox490,Textbox33,Textbox491,Textbox447,Textbox84,Textbox518,Textbox544,Textbox519,ZeroHour1,ZeroHourCount,ZeroHour,ZeroHourCount1,Textbox413,Textbox520,HourOne1,HourOneCount,HourOne,HourOneCount1,Textbox429,Textbox521,HourTwo1,HourTwoCount,HourTwo,HourTwoCount1,Textbox349,Textbox522,HourThree1,HourThreeCount,HourThree,HourThreeCount1,Textbox397,Textbox523,HourFour1,HourFourCount,HourFour,HourFourCount1,Textbox381,Textbox524,HourFive1,HourFiveCount,HourFive,HourFiveCount1,Textbox365,Textbox525,HourSix1,HourSixCount,HourSix,HourSixCount1,Textbox333,Textbox526,HourSeven1,HourSevenCount,HourSeven,HourSevenCount1,Textbox317,Textbox527,HourEight1,HourEightCount,HourEight,HourEightCount1,Textbox301,Textbox528,HourNine1,HourNineCount,HourNine,HourNineCount1,Textbox285,Textbox529,HourTen1,HourTenCount,HourTen,HourTenCount1,Textbox269,Textbox530,HourEleven1,HourElevenCount,HourEleven,HourElevenCount1,Textbox253,Textbox531,HourTwelve1,HourTwelveCount,HourTwelve,HourTwelveCount1,Textbox221,Textbox532,HourThirteen1,HourThirteenCount,HourThirteen,HourThirteenCount1,Textbox237,Textbox533,HourFourteen1,HourFourteenCount,HourFourteen,HourFourteenCount1,Textbox205,Textbox534,HourFifteen1,HourFifteenCount,HourFifteen,HourFifteenCount1,Textbox189,Textbox535,HourSixteen1,HourSixteenCount,HourSixteen,HourSixteenCount1,Textbox173,Textbox536,HourSeventeen1,HourSeventeenCount,HourSeventeen,HourSeventeenCount1,Textbox157,Textbox537,HourEighteen1,HourEighteenCount,HourEighteen,HourEighteenCount1,Textbox141,Textbox538,HourNineteen1,HourNineteenCount,HourNineteen,HourNineteenCount1,Textbox125,Textbox539,HourTwenty1,HourTwentyCount,HourTwenty,HourTwentyCount1,Textbox69,Textbox540,HourTwentyOne1,HourTwentyOneCount,HourTwentyOne,HourTwentyOneCount1,Textbox109,Textbox541,HourTwentyTwo1,HourTwentyTwoCount,HourTwentyTwo,HourTwentyTwoCount1,Textbox43,Textbox542,HourTwentyThree1,HourTwentyThreeCount,HourTwentyThree,HourTwentyThreeCount1,Textbox445,Textbox2,Textbox4,Textbox5,Textbox6,Textbox7
Take Out,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$273.29 ,1,1.69%,6:00 AM,$0.00 ,0,$134.60 ,2,0.83%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$9.25 ,1,0.06%,9:00 AM,$0.00 ,0,$26.45 ,3,0.16%,10:00 AM,$316.65 ,23,"$1,012.77 ",55,6.26%,11:00 AM,$817.14 ,62,"$2,076.05 ",113,12.83%,12:00 PM,"$1,571.65 ",102,"$2,607.71 ",159,16.11%,1:00 PM,"$1,140.35 ",79,"$2,025.47 ",125,12.52%,2:00 PM,$650.86 ,49,"$1,422.52 ",86,8.79%,3:00 PM,$555.98 ,37,$825.11 ,51,5.10%,4:00 PM,$527.80 ,33,"$1,000.52 ",60,6.18%,5:00 PM,$638.12 ,48,"$1,248.03 ",79,7.71%,6:00 PM,$926.17 ,57,"$1,647.56 ",91,10.18%,7:00 PM,$565.83 ,42,$912.55 ,59,5.64%,8:00 PM,$611.71 ,42,$953.08 ,59,5.89%,9:00 PM,$8.45 ,1,$8.45 ,3,0.05%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$8,330.71 ",575,"$16,183.41 ",947
Pickup,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$273.29 ,1,1.69%,6:00 AM,$0.00 ,0,$134.60 ,2,0.83%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$9.25 ,1,0.06%,9:00 AM,$0.00 ,0,$26.45 ,3,0.16%,10:00 AM,$8.20 ,1,"$1,012.77 ",55,6.26%,11:00 AM,$259.30 ,2,"$2,076.05 ",113,12.83%,12:00 PM,$17.90 ,1,"$2,607.71 ",159,16.11%,1:00 PM,$0.00 ,0,"$2,025.47 ",125,12.52%,2:00 PM,$91.39 ,2,"$1,422.52 ",86,8.79%,3:00 PM,$0.00 ,0,$825.11 ,51,5.10%,4:00 PM,$10.90 ,1,"$1,000.52 ",60,6.18%,5:00 PM,$52.20 ,2,"$1,248.03 ",79,7.71%,6:00 PM,$17.90 ,1,"$1,647.56 ",91,10.18%,7:00 PM,$0.00 ,0,$912.55 ,59,5.64%,8:00 PM,$9.70 ,1,$953.08 ,59,5.89%,9:00 PM,$0.00 ,0,$8.45 ,3,0.05%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$467.49 ,11,"$16,183.41 ",947
Delivery,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$273.29 ,1,1.69%,6:00 AM,$0.00 ,0,$134.60 ,2,0.83%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$9.25 ,1,0.06%,9:00 AM,$0.00 ,0,$26.45 ,3,0.16%,10:00 AM,$14.99 ,1,"$1,012.77 ",55,6.26%,11:00 AM,$26.99 ,1,"$2,076.05 ",113,12.83%,12:00 PM,$56.83 ,2,"$2,607.71 ",159,16.11%,1:00 PM,$123.77 ,5,"$2,025.47 ",125,12.52%,2:00 PM,$0.00 ,0,"$1,422.52 ",86,8.79%,3:00 PM,$23.14 ,1,$825.11 ,51,5.10%,4:00 PM,$32.68 ,2,"$1,000.52 ",60,6.18%,5:00 PM,$23.93 ,2,"$1,248.03 ",79,7.71%,6:00 PM,$35.68 ,2,"$1,647.56 ",91,10.18%,7:00 PM,$36.78 ,2,$912.55 ,59,5.64%,8:00 PM,$14.24 ,1,$953.08 ,59,5.89%,9:00 PM,$0.00 ,0,$8.45 ,3,0.05%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$389.03 ,19,"$16,183.41 ",947
Eat In,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$273.29 ,1,1.69%,6:00 AM,$0.00 ,0,$134.60 ,2,0.83%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$9.25 ,1,0.06%,9:00 AM,$0.00 ,0,$26.45 ,3,0.16%,10:00 AM,$0.00 ,0,"$1,012.77 ",55,6.26%,11:00 AM,$0.00 ,0,"$2,076.05 ",113,12.83%,12:00 PM,$0.00 ,0,"$2,607.71 ",159,16.11%,1:00 PM,$0.00 ,0,"$2,025.47 ",125,12.52%,2:00 PM,$0.00 ,0,"$1,422.52 ",86,8.79%,3:00 PM,$0.00 ,0,$825.11 ,51,5.10%,4:00 PM,$0.00 ,0,"$1,000.52 ",60,6.18%,5:00 PM,$0.00 ,0,"$1,248.03 ",79,7.71%,6:00 PM,$0.00 ,0,"$1,647.56 ",91,10.18%,7:00 PM,$0.00 ,0,$912.55 ,59,5.64%,8:00 PM,$0.00 ,0,$953.08 ,59,5.89%,9:00 PM,$0.00 ,0,$8.45 ,3,0.05%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$0.00 ,0,"$16,183.41 ",947
Online Pickup,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$273.29 ,1,1.69%,6:00 AM,$134.60 ,2,$134.60 ,2,0.83%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$9.25 ,1,$9.25 ,1,0.06%,9:00 AM,$26.45 ,3,$26.45 ,3,0.16%,10:00 AM,$294.18 ,13,"$1,012.77 ",55,6.26%,11:00 AM,$391.93 ,17,"$2,076.05 ",113,12.83%,12:00 PM,$183.62 ,12,"$2,607.71 ",159,16.11%,1:00 PM,$462.00 ,22,"$2,025.47 ",125,12.52%,2:00 PM,$436.21 ,22,"$1,422.52 ",86,8.79%,3:00 PM,$156.94 ,8,$825.11 ,51,5.10%,4:00 PM,$252.70 ,16,"$1,000.52 ",60,6.18%,5:00 PM,$255.59 ,15,"$1,248.03 ",79,7.71%,6:00 PM,$295.39 ,14,"$1,647.56 ",91,10.18%,7:00 PM,$131.89 ,7,$912.55 ,59,5.64%,8:00 PM,$76.24 ,4,$953.08 ,59,5.89%,9:00 PM,$0.00 ,2,$8.45 ,3,0.05%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$3,106.99 ",158,"$16,183.41 ",947
Online Delivery,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$273.29 ,1,$273.29 ,1,1.69%,6:00 AM,$0.00 ,0,$134.60 ,2,0.83%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$9.25 ,1,0.06%,9:00 AM,$0.00 ,0,$26.45 ,3,0.16%,10:00 AM,$378.75 ,17,"$1,012.77 ",55,6.26%,11:00 AM,$580.69 ,31,"$2,076.05 ",113,12.83%,12:00 PM,$777.71 ,42,"$2,607.71 ",159,16.11%,1:00 PM,$299.35 ,19,"$2,025.47 ",125,12.52%,2:00 PM,$244.06 ,13,"$1,422.52 ",86,8.79%,3:00 PM,$89.05 ,5,$825.11 ,51,5.10%,4:00 PM,$176.44 ,8,"$1,000.52 ",60,6.18%,5:00 PM,$278.19 ,12,"$1,248.03 ",79,7.71%,6:00 PM,$372.42 ,17,"$1,647.56 ",91,10.18%,7:00 PM,$178.05 ,8,$912.55 ,59,5.64%,8:00 PM,$241.19 ,11,$953.08 ,59,5.89%,9:00 PM,$0.00 ,0,$8.45 ,3,0.05%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$3,889.19 ",184,"$16,183.41 ",947
