Textbox543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Select a past date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Textbox490,Textbox33,Textbox491,Textbox447,Textbox84,Textbox518,Textbox544,Textbox519,ZeroHour1,ZeroHourCount,ZeroHour,ZeroHourCount1,Textbox413,Textbox520,HourOne1,HourOneCount,HourOne,HourOneCount1,Textbox429,Textbox521,HourTwo1,HourTwoCount,HourTwo,HourTwoCount1,Textbox349,Textbox522,HourThree1,HourThreeCount,HourThree,HourThreeCount1,Textbox397,Textbox523,HourFour1,HourFourCount,HourFour,HourFourCount1,Textbox381,Textbox524,HourFive1,HourFiveCount,HourFive,HourFiveCount1,Textbox365,Textbox525,HourSix1,HourSixCount,HourSix,HourSixCount1,Textbox333,Textbox526,HourSeven1,HourSevenCount,HourSeven,HourSevenCount1,Textbox317,Textbox527,HourEight1,HourEightCount,HourEight,HourEightCount1,Textbox301,Textbox528,HourNine1,HourNineCount,HourNine,HourNineCount1,Textbox285,Textbox529,HourTen1,HourTenCount,HourTen,HourTenCount1,Textbox269,Textbox530,HourEleven1,HourElevenCount,HourEleven,HourElevenCount1,Textbox253,Textbox531,HourTwelve1,HourTwelveCount,HourTwelve,HourTwelveCount1,Textbox221,Textbox532,HourThirteen1,HourThirteenCount,HourThirteen,HourThirteenCount1,Textbox237,Textbox533,HourFourteen1,HourFourteenCount,HourFourteen,HourFourteenCount1,Textbox205,Textbox534,HourFifteen1,HourFifteenCount,HourFifteen,HourFifteenCount1,Textbox189,Textbox535,HourSixteen1,HourSixteenCount,HourSixteen,HourSixteenCount1,Textbox173,Textbox536,HourSeventeen1,HourSeventeenCount,HourSeventeen,HourSeventeenCount1,Textbox157,Textbox537,HourEighteen1,HourEighteenCount,HourEighteen,HourEighteenCount1,Textbox141,Textbox538,HourNineteen1,HourNineteenCount,HourNineteen,HourNineteenCount1,Textbox125,Textbox539,HourTwenty1,HourTwentyCount,HourTwenty,HourTwentyCount1,Textbox69,Textbox540,HourTwentyOne1,HourTwentyOneCount,HourTwentyOne,HourTwentyOneCount1,Textbox109,Textbox541,HourTwentyTwo1,HourTwentyTwoCount,HourTwentyTwo,HourTwentyTwoCount1,Textbox43,Textbox542,HourTwentyThree1,HourTwentyThreeCount,HourTwentyThree,HourTwentyThreeCount1,Textbox445,Textbox2,Textbox4,Textbox5,Textbox6,Textbox7
Take Out,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$634.60 ,3,4.77%,6:00 AM,$0.00 ,0,$220.49 ,1,1.66%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$22.59 ,1,0.17%,10:00 AM,$258.06 ,22,$377.96 ,30,2.84%,11:00 AM,$893.56 ,52,"$1,561.64 ",83,11.73%,12:00 PM,"$1,365.07 ",79,"$1,977.70 ",107,14.86%,1:00 PM,"$1,372.23 ",78,"$1,931.98 ",108,14.51%,2:00 PM,$967.42 ,55,"$1,500.10 ",78,11.27%,3:00 PM,$592.18 ,49,$914.47 ,64,6.87%,4:00 PM,$497.09 ,33,$780.22 ,48,5.86%,5:00 PM,$594.02 ,52,"$1,065.01 ",69,8.00%,6:00 PM,$586.87 ,45,"$1,071.54 ",66,8.05%,7:00 PM,$690.36 ,40,$903.12 ,52,6.78%,8:00 PM,$229.50 ,16,$350.21 ,22,2.63%,9:00 PM,$0.00 ,0,$0.00 ,1,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$8,046.36 ",521,"$13,311.63 ",733
Pickup,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$634.60 ,3,4.77%,6:00 AM,$0.00 ,0,$220.49 ,1,1.66%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$22.59 ,1,0.17%,10:00 AM,$17.90 ,1,$377.96 ,30,2.84%,11:00 AM,$21.95 ,1,"$1,561.64 ",83,11.73%,12:00 PM,$19.70 ,1,"$1,977.70 ",107,14.86%,1:00 PM,$0.00 ,0,"$1,931.98 ",108,14.51%,2:00 PM,$104.85 ,3,"$1,500.10 ",78,11.27%,3:00 PM,$27.15 ,1,$914.47 ,64,6.87%,4:00 PM,$0.00 ,0,$780.22 ,48,5.86%,5:00 PM,$16.90 ,1,"$1,065.01 ",69,8.00%,6:00 PM,$35.80 ,1,"$1,071.54 ",66,8.05%,7:00 PM,$23.43 ,1,$903.12 ,52,6.78%,8:00 PM,$15.10 ,1,$350.21 ,22,2.63%,9:00 PM,$0.00 ,0,$0.00 ,1,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$282.78 ,11,"$13,311.63 ",733
Delivery,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$634.60 ,3,4.77%,6:00 AM,$220.49 ,1,$220.49 ,1,1.66%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$22.59 ,1,0.17%,10:00 AM,$0.00 ,0,$377.96 ,30,2.84%,11:00 AM,$12.69 ,1,"$1,561.64 ",83,11.73%,12:00 PM,$0.00 ,0,"$1,977.70 ",107,14.86%,1:00 PM,$37.12 ,3,"$1,931.98 ",108,14.51%,2:00 PM,$33.13 ,2,"$1,500.10 ",78,11.27%,3:00 PM,$12.99 ,1,$914.47 ,64,6.87%,4:00 PM,$15.94 ,1,$780.22 ,48,5.86%,5:00 PM,$36.54 ,1,"$1,065.01 ",69,8.00%,6:00 PM,$10.44 ,1,"$1,071.54 ",66,8.05%,7:00 PM,$0.00 ,0,$903.12 ,52,6.78%,8:00 PM,$0.00 ,0,$350.21 ,22,2.63%,9:00 PM,$0.00 ,0,$0.00 ,1,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$379.34 ,11,"$13,311.63 ",733
Eat In,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$634.60 ,3,4.77%,6:00 AM,$0.00 ,0,$220.49 ,1,1.66%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$22.59 ,1,0.17%,10:00 AM,$0.00 ,0,$377.96 ,30,2.84%,11:00 AM,$0.00 ,0,"$1,561.64 ",83,11.73%,12:00 PM,$0.00 ,0,"$1,977.70 ",107,14.86%,1:00 PM,$0.00 ,0,"$1,931.98 ",108,14.51%,2:00 PM,$0.00 ,0,"$1,500.10 ",78,11.27%,3:00 PM,$0.00 ,0,$914.47 ,64,6.87%,4:00 PM,$0.00 ,0,$780.22 ,48,5.86%,5:00 PM,$0.00 ,0,"$1,065.01 ",69,8.00%,6:00 PM,$0.00 ,0,"$1,071.54 ",66,8.05%,7:00 PM,$0.00 ,0,$903.12 ,52,6.78%,8:00 PM,$0.00 ,0,$350.21 ,22,2.63%,9:00 PM,$0.00 ,0,$0.00 ,1,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,$0.00 ,0,"$13,311.63 ",733
Online Pickup,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$634.60 ,3,$634.60 ,3,4.77%,6:00 AM,$0.00 ,0,$220.49 ,1,1.66%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$22.59 ,1,$22.59 ,1,0.17%,10:00 AM,$16.45 ,2,$377.96 ,30,2.84%,11:00 AM,$365.16 ,16,"$1,561.64 ",83,11.73%,12:00 PM,$375.86 ,17,"$1,977.70 ",107,14.86%,1:00 PM,$299.67 ,18,"$1,931.98 ",108,14.51%,2:00 PM,$234.63 ,10,"$1,500.10 ",78,11.27%,3:00 PM,$233.93 ,10,$914.47 ,64,6.87%,4:00 PM,$121.75 ,7,$780.22 ,48,5.86%,5:00 PM,$336.38 ,12,"$1,065.01 ",69,8.00%,6:00 PM,$144.99 ,7,"$1,071.54 ",66,8.05%,7:00 PM,$116.44 ,8,$903.12 ,52,6.78%,8:00 PM,$9.25 ,1,$350.21 ,22,2.63%,9:00 PM,$0.00 ,0,$0.00 ,1,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$2,911.70 ",112,"$13,311.63 ",733
Online Delivery,Time,Value,Count,Total ($),Total Count,Total (%),12:00 AM,$0.00 ,0,$0.00 ,0,0.00%,1:00 AM,$0.00 ,0,$0.00 ,0,0.00%,2:00 AM,$0.00 ,0,$0.00 ,0,0.00%,3:00 AM,$0.00 ,0,$0.00 ,0,0.00%,4:00 AM,$0.00 ,0,$0.00 ,0,0.00%,5:00 AM,$0.00 ,0,$634.60 ,3,4.77%,6:00 AM,$0.00 ,0,$220.49 ,1,1.66%,7:00 AM,$0.00 ,0,$0.00 ,0,0.00%,8:00 AM,$0.00 ,0,$0.00 ,0,0.00%,9:00 AM,$0.00 ,0,$22.59 ,1,0.17%,10:00 AM,$85.55 ,5,$377.96 ,30,2.84%,11:00 AM,$268.28 ,13,"$1,561.64 ",83,11.73%,12:00 PM,$217.07 ,10,"$1,977.70 ",107,14.86%,1:00 PM,$222.96 ,9,"$1,931.98 ",108,14.51%,2:00 PM,$160.07 ,8,"$1,500.10 ",78,11.27%,3:00 PM,$48.22 ,3,$914.47 ,64,6.87%,4:00 PM,$145.44 ,7,$780.22 ,48,5.86%,5:00 PM,$81.17 ,3,"$1,065.01 ",69,8.00%,6:00 PM,$293.44 ,12,"$1,071.54 ",66,8.05%,7:00 PM,$72.89 ,3,$903.12 ,52,6.78%,8:00 PM,$96.36 ,4,$350.21 ,22,2.63%,9:00 PM,$0.00 ,1,$0.00 ,1,0.00%,10:00 PM,$0.00 ,0,$0.00 ,0,0.00%,11:00 PM,$0.00 ,0,$0.00 ,0,0.00%,Total,"$1,691.45 ",78,"$13,311.63 ",733
